area,perimeter,circularity,label
846,771.6782736778259,circle
1880,1705.7829548120499,circle
1112,1296.690467596054,circle
1500,1437.4915438890457,circle
1822,1640.285481095314,circle
726,1312.8843371868134,circle
2000,1767.6479595899582,circle
3318,3441.2673592567444,circle
810,943.9970353841782,circle
3304,4884.421685695648,circle
160,153.88224983215332,triangle
220,229.33809316158295,circle
764,1013.1269781589508,square
4380,4665.614680290222,circle
2064,2136.2509919404984,circle
1366,1968.094576716423,triangle
2945,3899.721114397049,square
284,307.9655100107193,circle
1826,2592.1605916023254,triangle
620,674.6416968107224,square
1282,1737.9280549287796,square
832,783.5950144529343,circle
2566,2636.299760699272,circle
2926,3283.176957964897,circle
1458,2036.2194653749466,circle
1012,1613.862040400505,triangle
506,495.77164030075073,circle
158,205.9827550649643,circle
984,1753.0924880504608,square
572,550.2569198608398,triangle
1602,2752.92300260067,circle
3468,3612.7475867271423,circle
472,532.1320304870605,triangle
3006,4045.9465112686157,circle
860,1374.4234410524368,circle
2234,3227.422563791275,circle
842,958.8670926094055,circle
710,1255.1269776821136,circle
3338,3422.03690969944,circle
738,656.8670918941498,triangle
1162,1208.4305815696716,circle
2040,3274.895651936531,circle
488,521.4457386732101,square
6502,7429.321514010429,circle
1064,1060.91586124897,square
1290,1235.2833933830261,circle
872,990.4650707244873,circle
1962,3736.8885130882263,circle
3584,4287.576014280319,circle
1594,1665.2905331850052,circle
752,729.3107435703278,square
760,838.783832192421,square
888,1142.0630496740341,circle
568,1275.3452335596085,circle
4602,5467.822830200195,circle
2928,3374.088647723198,circle
440,387.8893893957138,triangle
748,813.411248087883,square
840,1253.9381598234177,circle
1654,1912.9473881721497,circle
400,1006.9777026176453,circle
712,786.8843375444412,circle
4006,3860.3770900964737,circle
1262,1568.5971022844315,circle
1150,2024.1046808958054,square
886,1178.6904661655426,circle
396,1006.4924213886261,circle
4136,4283.631923675537,circle
551,794.9015824794769,circle
402,382.96045768260956,circle
436,424.7178164720535,circle
496,723.4457383155823,circle
864,1551.9797893762589,square
1096,1049.3595125675201,circle
670,1925.629504442215,circle
1984,2040.7535172700882,circle
846,813.7371492385864,circle
1998,3095.5230700969696,circle
2505,3646.9860525131226,triangle
1207,1555.4011434316635,triangle
1194,1167.8275492191315,circle
1964,3130.327110528946,circle
894,1117.1757479906082,circle
1132,1112.6315915584564,circle
1126,2571.175748229027,circle
1912,2119.4986835718155,circle
4206,4111.815689444542,circle
1236,2379.2833939790726,circle
1160,1176.3128311634064,circle
154,189.63960921764374,circle
1678,3822.2194653749466,circle
1388,1401.366653561592,circle
1096,1864.3645664453506,circle
3582,3286.713096499443,circle
1088,1216.0041753053665,circle
694,1005.2102372646332,circle
1084,1609.2346241474152,circle
1864,2802.68750166893,circle
1514,1449.1483972072601,circle
1580,2528.739237189293,square
1826,1742.77790081501,circle
834,1114.03866481781,circle
1158,1355.501648902893,circle
811,1268.7077115774155,circle
478,660.132030248642,circle
1980,3878.3687411546707,circle
870,1572.9675973653793,square
372,367.7472540140152,circle
312,563.0365778207779,circle
964,1741.6955196857452,circle
3017,4468.4561775922775,circle
2357,2441.880495071411,circle
644,641.8132699728012,circle
1302,2297.2590086460114,square
2640,2520.674430012703,circle
1284,1254.7808660268784,circle
846,1140.565576672554,circle
208,244.26702570915222,circle
1830,2685.9179499149323,circle
1074,1498.9331077337265,triangle
2028,2698.4276168346405,circle
790,1614.5828214883804,circle
4250,4096.5923808813095,circle
502,594.1320306062698,circle
2292,2426.5180168151855,circle
594,541.2274829149246,triangle
3552,5952.70595741272,circle
520,623.587874174118,circle
896,1714.8670926094055,circle
1492,1675.0235073566437,circle
3256,3816.161799788475,triangle
744,739.7371493577957,triangle
662,600.1564153432846,triangle
1006,2037.5361392498016,circle
3370,3623.711010813713,circle
2369,3694.0154889822006,square
340,340.7766913175583,circle
904,1261.5950145721436,circle
1102,1156.246816277504,circle
1736,2211.4154225587845,circle
1298,1598.8986169099808,circle
580,563.0437178611755,triangle
702,663.9970355033875,circle
574,568.5584365129471,triangle
124,130.46803629398346,circle
1008,1020.8742318153381,circle
1070,1061.8031647205353,triangle
1660,2060.378846526146,circle
2392,2704.885546565056,circle
1656,2369.1067687273026,circle
656,645.1269780397415,circle
878,1648.5239465236664,circle
1798,1746.7880059480667,circle
760,775.6538887023926,circle
3094,4235.159714102745,circle
1160,1519.2001311779022,triangle
1570,2101.893565416336,triangle
1136,1102.0701891183853,circle
234,377.137082695961,circle
228,262.40916097164154,circle
1224,2071.158503651619,circle
1100,1912.4478261470795,circle
106,390.7695519924164,circle
1272,1312.118959069252,triangle
964,1253.3940037488937,square
510,546.1736598014832,square
964,991.8031636476517,circle
954,1099.962544798851,circle
140,191.7401144504547,circle
770,722.5239458084106,triangle
3514,3840.404441833496,circle
1292,1704.9818769693375,circle
376,345.3036040067673,circle
344,349.01933205127716,square
144,181.7401144504547,circle
786,1129.6538889408112,circle
548,493.7300088405609,triangle
978,1173.0752429962158,circle
1300,1619.7270439863205,circle
760,657.3107430934906,circle
304,311.220342874527,circle
182,267.2964633703232,circle
1212,1867.1585034132004,square
1202,1809.359513759613,circle
574,624.416301369667,circle
898,1263.3940037488937,circle
2115,2839.6063281297684,square
792,761.5361385345459,circle
148,158.95331728458405,square
288,404.7939372062683,circle
110,158.42640614509583,square
396,404.1909054517746,circle
1366,1799.4671578407288,circle
1104,1067.6437845230103,circle
2176,3680.5108766555786,circle
1282,1708.212326169014,circle
138,188.32590079307556,circle
102,128.18376541137695,circle
1882,2577.599189400673,circle
1746,2618.4621065855026,circle
